"No","Paragraf","Elemen Ke-","Kode","Jenis Kesalahan","Asli","Perbaikan","Penjelasan"
"164","8","5","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","Tidak !","Tidak!","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"165","8","7","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","berjuang .","berjuang.","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"166","8","11","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","berjuang ??","berjuang??","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"167","8","15","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","berakhir ??","berakhir??","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"168","8","18","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","tidak !?","tidak!?","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"169","8","19","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","Ujung -","Ujung-","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"170","8","19","[SiPEBI-KLDTB]","[SiPEBI] Kata Lepas dari Tanda Baca","Ujung- ujungnya","Ujung-ujungnya","[SiPEBI] Kata ini tidak ditulis menempel pada tanda bacanya"
"171","8","19","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","Ujung-ujungnya ,","Ujung-ujungnya,","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"172","8","31","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","akhirnya .","akhirnya.","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"173","8","36","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","pragmatik ...","pragmatik...","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"174","9","3","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","melawan, sehingga","melawan sehingga","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"175","9","9","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","benar, karena","benar karena","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"176","9","19","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","itu, jika","itu jika","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"177","9","30","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","dibunuh, apabila","dibunuh apabila","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"178","9","38","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","itu, walaupun","itu walaupun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"179","9","50","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","ditemukan, bahwa","ditemukan bahwa","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"180","9","63","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","itu, walaupun","itu walaupun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"181","9","71","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","mudah, lantaran","mudah lantaran","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"182","9","79","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","kesalahannya, apapun","kesalahannya apapun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"183","9","90","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","Jadi, meskipun","Jadi meskipun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"184","9","100","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","adil, kendatipun","adil kendatipun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"185","10","2","[SiPEBI-KA]","[SiPEBI] Kata Ambivalen","keluar","Saran: ke luar | keluar","[SiPEBI] Kata yang digunakan merupakan kata dengan kemungkinan ejaan yang ambivalen"
